gene_id	chrom	start	end	strand	unique_count	effective_count
ICR1	IX	393884	397082	-	11	12.000
YIR020C	IX	394255	394557	-	0	0.000
YIR020W-A	IX	394917	395159	+	0	0.000
PWR1	IX	395999	396939	+	0	0.000
YIR020C-B	IX	397215	397949	-	0	0.000
YIR021W	IX	397294	398385	+	9	9.000
YIR021W-A	IX	398514	398726	+	0	0.000
YIR022W	IX	398733	399236	+	54	54.000
YIR023W	IX	399777	402689	+	10	10.000
YIR023C-A	IX	402383	402706	-	0	0.000
YIR024C	IX	402841	403491	-	10	10.000
YIR025W	IX	403659	404765	+	11	11.000
YIR026C	IX	404873	405967	-	3	3.000
YIR027C	IX	406260	407642	-	2	2.000
YIR028W	IX	408468	410375	+	11	11.000
YIR029W	IX	410807	411838	+	10	10.000
YIR030C	IX	412036	412770	-	2	2.000
YIR030W-A	IX	412899	413282	+	5	5.000
YIR031C	IX	413015	414679	-	8	8.000
YIR032C	IX	415030	415617	-	8	8.000
YIR033W	IX	416124	419465	+	26	26.000
YIR034C	IX	419615	420736	-	51	51.000
YIR035C	IX	421026	421790	-	23	23.000
YIR036C	IX	422074	422865	-	57	57.000
YIR036W-A	IX	422635	423036	+	1	1.000
YIR037W	IX	423128	423619	+	140	140.795
YIR038C	IX	423809	424513	-	174	174.000
YIR039C	IX	430498	432111	-	8	8.000
YIR040C	IX	433389	433721	-	1	1.000
YIR041W	IX	433929	434303	+	0	0.000
YIR042C	IX	435273	435983	-	12	12.000
tP(UGG)Q	Mito	731	802	+	0	0.000
Q0010	Mito	3952	4338	+	0	0.000
Q0017	Mito	4254	4415	+	0	0.000
Q0020	Mito	6546	8194	+	0	0.000
tW(UCA)Q	Mito	9374	9447	+	0	0.000
Q0032	Mito	11667	11957	+	0	0.000
Q0050	Mito	13818	16322	+	0	0.000
Q0055	Mito	13818	18830	+	0	0.000
Q0060	Mito	13818	19996	+	0	0.000
Q0065	Mito	13818	21935	+	0	0.000
Q0070	Mito	13818	23167	+	0	0.000
Q0045	Mito	13818	26701	+	0	0.000
Q0075	Mito	24156	25255	+	0	0.000
Q0080	Mito	27666	27812	+	0	0.000
Q0085	Mito	28487	29266	+	0	0.000
Q0092	Mito	30874	31014	+	0	0.000
tE(UUC)Q	Mito	35373	35444	+	0	0.000
Q0110	Mito	36540	38579	+	0	0.250
Q0115	Mito	36540	40265	+	0	0.250
Q0120	Mito	36540	42251	+	0	0.250
Q0105	Mito	36540	43647	+	0	0.250
Q0130	Mito	46723	46953	+	1	1.000
tS(UGA)Q2	Mito	48201	48290	+	0	0.000
Q0140	Mito	48901	50097	+	0	0.000
Q0142	Mito	51052	51228	+	0	0.000
Q0143	Mito	51277	51429	+	0	0.000
Q0144	Mito	54109	54438	+	0	0.000
Q0158	Mito	58009	62447	+	1	1.000
Q0160	Mito	61022	61729	+	0	0.000
tT(UGU)Q1	Mito	63862	63937	+	0	0.000
tC(GCA)Q	Mito	64415	64490	+	0	0.000
tH(GUG)Q	Mito	64596	64670	+	0	0.000
Q0182	Mito	65770	66174	+	0	0.000
tL(UAA)Q	Mito	66095	66179	+	0	0.000
tQ(UUG)Q	Mito	66210	66285	+	0	0.000
tK(UUU)Q	Mito	67061	67134	+	0	0.000
tR(UCU)Q1	Mito	67309	67381	+	0	0.000
tG(UCC)Q	Mito	67468	67542	+	0	0.000
tD(GUC)Q	Mito	68322	68396	+	0	0.000
tS(GCU)Q1	Mito	69203	69288	+	0	0.000
tR(ACG)Q2	Mito	69289	69362	+	0	0.000
tA(UGC)Q	Mito	69846	69921	+	0	0.000
tI(GAU)Q	Mito	70162	70237	+	0	0.000
tY(GUA)Q	Mito	70824	70907	+	0	0.000
tN(GUU)Q	Mito	71433	71503	+	0	0.000
tM(CAU)Q1	Mito	72630	72705	+	0	0.000
Q0250	Mito	73758	74513	+	0	0.000
Q0255	Mito	74495	75984	+	0	0.000
tF(GAA)Q	Mito	77431	77505	+	0	0.000
tT(UAG)Q2	Mito	78089	78162	-	0	0.000
tV(UAC)Q	Mito	78533	78608	+	0	0.000
Q0275	Mito	79213	80022	+	0	0.000
tM(CAU)Q2	Mito	85035	85112	+	0	0.000
Q0285	Mito	85295	85777	+	0	0.000
Q0297	Mito	85554	85709	+	0	0.000
YEL077C	V	264	4097	-	8	20.192
YEL077W-A	V	630	1112	+	0	0.000
YEL076C-A	V	4185	5114	-	0	1.014
YEL076C	V	4464	5114	-	0	0.037
YEL075W-A	V	4870	5481	+	0	0.000
YEL075C	V	5345	5713	-	1	2.017
YEL074W	V	6126	6464	+	0	0.000
YEL073C	V	7230	7553	-	7	7.000
YEL072W	V	13720	14415	+	10	10.000
YEL071W	V	16355	17845	+	218	218.000
YEL070W	V	19589	21097	+	16	16.000
YEL069C	V	21537	23231	-	3	3.062
YEL068C	V	25646	25978	-	15	15.000
YEL067C	V	26189	26776	-	6	6.000
YEL066W	V	26667	27206	+	25	25.000
YEL065W	V	27657	29543	+	16	16.000
YEL064C	V	29797	31239	-	15	15.000
YEL063C	V	31694	33466	-	65	65.000
YEL062W	V	34407	36254	+	6	6.000
YEL061C	V	36535	39537	-	9	9.000
YEL060C	V	40046	41953	-	566	566.000
YEL059C-A	V	42400	42624	-	10	10.000
YEL059W	V	42652	42960	+	4	4.000
YEL058W	V	43252	44925	+	93	93.000
YEL057C	V	45020	45721	-	5	5.000
YEL056W	V	47168	48373	+	16	16.000
YEL055C	V	48471	51539	-	29	29.000
snR80	V	52150	52320	-	1	1.000
YEL054C	V	52721	53218	-	153	154.974
YEL053W-A	V	52908	53255	+	2	2.026
YEL053C	V	53901	56102	-	15	15.000
YEL052W	V	56571	58100	+	36	36.000
YEL051W	V	58378	59148	+	25	25.000
YEL050W-A	V	59549	59740	+	1	1.009
YEL050C	V	59670	60851	-	31	31.000
snR67	V	61352	61433	+	1	1.000
snR53	V	61699	61789	+	0	0.000
tG(GCC)E	V	61890	61960	-	0	0.000
YEL049W	V	63728	64090	+	10	10.000
YEL048C	V	64709	65167	-	2	2.000
YEL047C	V	65385	66797	-	22	22.000
YEL046C	V	67629	68792	-	54	54.000
YEL045C	V	68840	69265	-	0	0.000
YEL044W	V	69757	70257	+	39	39.000
YEL043W	V	70478	73348	+	20	20.000
YEL042W	V	73771	75327	+	91	91.000
YEL041W	V	75944	77431	+	61	61.000
YEL040W	V	78053	79456	+	30	30.000
YEL039C	V	79636	79977	-	11	11.000
YEL038W	V	80462	81145	+	27	27.000
YEL037C	V	81407	82603	-	63	63.000
YEL036C	V	83050	84552	-	36	36.000
YEL035C	V	85045	85545	-	5	5.000
YEL034C-A	V	85613	86215	-	55	57.644
YEL034W	V	85676	86149	+	2317	2606.340
YEL033W	V	86179	86598	+	216	251.487
tS(AGA)E	V	86604	86685	+	0	0.000
YEL032W	V	86937	89852	+	28	28.000
YEL032C-A	V	87040	87201	-	0	0.000
YEL031W	V	90258	93905	+	89	89.000
YEL030C-A	V	94583	94897	-	0	0.000
YEL030W	V	94644	96578	+	7	7.000
YEL029C	V	96858	97796	-	5	5.000
YEL028W	V	98668	99129	+	8	8.000
tM(CAU)E	V	100133	100204	+	1	1.000
YEL027W	V	100769	101251	+	249	249.000
YEL026W	V	101943	102323	+	53	53.000
YEL025C	V	102581	106147	-	12	12.000
YEL024W	V	107260	107907	+	396	396.171
YEL023C	V	108504	110552	-	5	5.000
YEL022W	V	111421	115800	+	7	7.000
YEL021W	V	116167	116970	+	23	23.000
YEL020C-B	V	117183	117380	-	0	0.000
YEL020W-A	V	117211	117474	+	29	29.000
RPR1	V	117667	118035	-	1	1.000
YEL020C	V	118617	120299	-	33	33.000
YEL019C	V	120498	121301	-	1	1.000
YEL018C-A	V	121455	121988	-	0	0.000
YEL018W	V	121471	122310	+	7	7.000
YEL017C-A	V	122798	122929	-	69	69.000
YEL017W	V	123657	124670	+	26	26.000
YEL016C	V	124737	126218	-	11	11.000
YEL015W	V	126629	128284	+	25	25.000
YEL014C	V	128303	128608	-	1	1.000
YEL013W	V	128825	130561	+	38	38.000
tQ(UUG)E2	V	131082	131153	-	0	0.000
YEL012W	V	131772	132551	+	26	26.000
YEL011W	V	133120	135234	+	161	161.000
tK(CUU)E1	V	135425	135497	-	0	0.000
YEL010W	V	136279	136629	+	1	1.000
YEL009C-A	V	136371	136778	-	0	0.000
tR(UCU)E	V	138666	138737	+	0	0.000
YEL009C	V	138918	139763	-	1156	1156.477
YEL008W	V	140512	140892	+	3	3.000
YEL008C-A	V	140726	140818	-	0	0.000
YEL007W	V	141892	143892	+	68	68.000
YEL006W	V	144327	145334	+	31	31.000
YEL005C	V	145907	146755	-	12	12.000
YEL004W	V	146951	147979	+	4	4.000
YEL003W	V	148176	148599	+	9	9.000
YEL002C	V	148722	150014	-	84	84.000
YEL001C	V	150301	150978	-	41	41.000
YER001W	V	153520	155808	+	30	30.000
YER002W	V	156803	157498	+	16	16.000
YER003C	V	157736	159118	-	82	82.000
YER004W	V	159580	160275	+	448	448.000
YER005W	V	160550	162442	+	20	20.000
YER006W	V	162723	164285	+	21	21.000
YER006C-A	V	164344	164661	-	0	0.000
YER007W	V	164527	166083	+	7	7.000
YER007C-A	V	166237	166885	-	16	16.000
snR14	V	167427	167586	-	0	0.000
YER008C	V	167808	171818	-	11	11.000
YER009W	V	172115	172492	+	119	119.000
YER010C	V	172634	173338	-	47	47.000
YER011W	V	175248	176012	+	2	2.000
tE(UUC)E1	V	177099	177170	+	0	0.000
YER012W	V	177835	178431	+	84	84.000
YER013W	V	178841	182278	+	9	9.000
YER014W	V	182600	184219	+	9	9.000
YER014C-A	V	183731	184700	-	0	0.000
YER015W	V	184541	186775	+	211	211.000
YER016W	V	188277	189311	+	6	6.000
YER017C	V	189503	191788	-	49	49.000
YER018C	V	191959	192624	-	34	34.000
YER019W	V	192797	194230	+	11	11.000
YER019C-A	V	194273	194539	-	63	63.000
YER020W	V	195168	196517	+	32	32.000
YER021W	V	196948	198519	+	119	119.000
YER022W	V	198812	200875	+	7	7.000
YER023W	V	201076	201936	+	124	124.000
YER023C-A	V	201522	201734	-	0	0.000
YER024W	V	202192	204963	+	211	211.000
YER025W	V	205251	206834	+	53	53.000
tH(GUG)E1	V	207357	207428	+	0	0.000
YER026C	V	207644	208474	-	100	100.000
YER027C	V	208979	210232	-	21	21.000
YER028C	V	210692	211876	-	1	1.000
YER029C	V	212587	213177	-	11	11.000
YER030W	V	213437	213898	+	31	31.000
YER031C	V	214076	214747	-	37	37.000
YER032W	V	215063	217693	+	7	7.000
YER033C	V	218057	221287	-	15	15.000
YER034W	V	221846	222403	+	16	16.000
YER035W	V	222639	223076	+	25	25.000
YER036C	V	223367	225199	-	36	36.000
YER037W	V	225889	226854	+	9	9.000
YER038C	V	226858	228252	-	6	6.000
YER038W-A	V	228451	228831	+	1	1.000
YER039C	V	228456	229205	-	50	53.968
YER039C-A	V	229263	229481	-	13	14.032
YER040W	V	229795	231987	+	6	6.000
YER041W	V	232461	234740	+	9	9.000
YER042W	V	234937	235491	+	67	67.000
YER043C	V	235770	237119	-	220	220.000
YER044C	V	237570	238016	-	178	178.000
YER044C-A	V	238460	239774	-	2	2.000
YER045C	V	240032	241501	-	18	18.000
YER046W	V	243180	243611	+	10	10.000
YER046W-A	V	243700	244029	+	0	0.000
YER047C	V	243810	246503	-	25	25.000
YER048C	V	246982	248157	-	27	27.000
tQ(UUG)E1	V	250286	250357	+	0	0.000
YER048W-A	V	250718	251002	+	28	28.000
YER049W	V	251728	253662	+	13	13.000
YER050C	V	253971	254387	-	16	16.000
YER051W	V	254656	256134	+	11	11.000
YER052C	V	256375	257958	-	121	121.000
YER053C	V	258737	259639	-	40	40.000
YER053C-A	V	260933	261046	-	863	864.360
YER054C	V	262052	263698	-	48	48.000
YER055C	V	264892	265785	-	97	97.000
YER056C	V	266512	268113	-	59	59.000
YER056C-A	V	269423	270185	-	59	59.000
YER057C	V	270737	271126	-	89	89.000
YER058W	V	271768	272091	+	10	10.000
YER059W	V	272624	273886	+	15	15.000
YER060W	V	274567	276153	+	14	14.000
YER060W-A	V	276572	278164	+	3	3.000
YER061C	V	278298	279626	-	10	10.000
YER062C	V	279930	280682	-	14	14.000
YER063W	V	281710	282366	+	31	31.000
YER064C	V	282705	284222	-	5	5.000
YER065C	V	285241	286914	-	34	34.000
tS(UGA)E	V	288443	288524	-	0	0.000
YER066W	V	290242	290799	+	16	16.000
YER066C-A	V	291703	292203	-	4	4.000
YER067W	V	292066	292551	+	72	72.000
YER067C-A	V	292240	292563	-	0	0.000
YER068W	V	293050	294813	+	19	19.000
YER068C-A	V	295301	295732	-	0	0.000
YER069W	V	295410	298001	+	160	160.000
YER070W	V	298950	301616	+	70	70.000
YER071C	V	301947	302327	-	13	13.000
YER072W	V	302806	303195	+	31	31.000
YER073W	V	304030	305592	+	32	32.000
YER074W	V	306323	307196	+	160	160.000
YER074W-A	V	307653	308123	+	33	33.000
YER075C	V	308413	311199	-	17	17.000
tA(UGC)E	V	312023	312095	-	0	0.000
YER076C	V	312590	313498	-	9	9.134
YER076W-A	V	313390	313737	+	0	0.000
YER077C	V	314534	316600	-	6	6.000
YER078C	V	316807	318342	-	14	14.000
YER078W-A	V	318646	318810	+	0	0.000
YER079W	V	318920	319552	+	25	25.000
YER079C-A	V	319902	320240	-	0	0.000
YER080W	V	319963	321846	+	31	31.000
SRG1	V	322212	322762	+	3	3.064
YER081W	V	322686	324095	+	44	44.936
YER082C	V	324272	325936	-	6	6.000
YER083C	V	326174	327031	-	37	37.000
YER084W	V	327065	327451	+	13	13.000
YER084W-A	V	327598	328110	+	0	0.000
YER085C	V	327619	328140	-	1	1.000
YER086W	V	328477	330207	+	97	97.000
YER087W	V	330576	332306	+	10	10.000
YER087C-A	V	331817	332368	-	2	2.000
YER087C-B	V	332582	332830	-	65	65.000
YER088C	V	333176	335188	-	33	33.030
YER088C-A	V	335696	336019	-	7	8.465
YER088W-B	V	335927	336073	+	0	0.000
YER089C	V	335946	337340	-	36	43.535
YER090W	V	337949	339472	+	39	39.000
YER090C-A	V	338322	338411	-	0	0.000
YER091C	V	339864	342167	-	336	336.000
YER091C-A	V	342390	342611	-	0	0.000
YER092W	V	342855	343232	+	15	15.000
YER093C	V	343320	347612	-	11	11.000
YER093C-A	V	347912	348400	-	17	17.000
YER094C	V	348729	349346	-	108	108.328
YER095W	V	349980	351182	+	128	128.000
YER096W	V	351698	353236	+	8	8.000
tE(UUC)E2	V	354934	355005	+	1	1.000
YER097W	V	355140	355469	+	0	0.000
YER098W	V	355466	357730	+	12	12.000
YER099C	V	358105	359061	-	36	36.000
YER100W	V	359562	360314	+	24	24.000
YER101C	V	360502	361794	-	21	21.000
YER102W	V	363100	363702	+	111	111.248
YER103W	V	364589	366517	+	102	102.000
YER104W	V	366802	367428	+	8	8.000
YER105C	V	367838	372013	-	30	30.000
YER106W	V	372326	373234	+	3	3.000
YER107C	V	373448	374545	-	16	16.000
YER107W-A	V	374394	374714	+	0	0.000
YER110C	V	378762	382103	-	65	65.000
YER111C	V	382595	385876	-	20	20.000
YER112W	V	387232	387795	+	19	19.000
YER113C	V	387932	390052	-	13	13.000
YER114C	V	390590	393712	-	23	23.000
YER115C	V	394292	394867	-	12	12.000
YER116C	V	395348	396172	-	11	11.000
YER117W	V	396769	397653	+	205	205.000
YER118C	V	397952	399055	-	20	20.000
YER119C	V	399496	400842	-	38	38.000
YER119C-A	V	400867	401238	-	2	2.000
YER120W	V	401135	401869	+	100	100.028
YER121W	V	402375	402719	+	31	31.000
YER122C	V	402871	404352	-	42	42.000
YER123W	V	404813	406387	+	12	12.000
YER124C	V	407342	409063	-	55	55.000
YER125W	V	410189	412618	+	123	123.000
YER126C	V	413394	414179	-	12	12.000
YER127W	V	414481	415554	+	10	10.000
YER128W	V	415859	416470	+	4	4.000
YER129W	V	417281	420709	+	18	18.000
YER130C	V	421115	422446	-	7	7.000
YER131W	V	423952	424311	+	53	53.000
snR4	V	424698	424883	+	6	6.000
YER132C	V	425188	430449	-	5	5.000
snR52	V	431129	431220	-	1	1.000
YER133W	V	432495	433958	+	55	55.000
tH(GUG)E2	V	434541	434612	-	0	0.000
tK(CUU)E2	V	435752	435824	-	0	0.000
YER133W-A	V	437191	437532	+	3	3.000
YER134C	V	437267	437803	-	6	6.000
YER135C	V	437952	438344	-	1	1.000
tV(AAC)E1	V	438700	438773	+	0	0.000
YER136W	V	439616	440971	+	104	104.000
YER137C	V	441373	441819	-	2	2.000
YER137W-A	V	441575	441880	+	0	0.000
SCR1	V	441987	442508	+	1	1.000
tI(AAU)E1	V	443202	443275	-	0	0.000
YER138C	V	443756	449024	-	27	96.212
YER137C-A	V	447702	449024	-	0	0.000
YER138W-A	V	449474	449578	+	1	1.000
YER139C	V	450563	451243	-	9	9.000
YER140W	V	451565	453235	+	9	9.000
YER141W	V	453459	454919	+	154	154.000
YER142C	V	455146	456036	-	17	17.000
YER143W	V	456319	457605	+	38	38.000
YER144C	V	457806	460223	-	22	22.000
YER145C	V	460526	461740	-	122	122.000
YER145C-A	V	462386	462823	-	1	1.000
YER146W	V	462585	462866	+	18	18.000
YER147C	V	462968	464842	-	15	15.000
YER147C-A	V	465203	465613	-	2	2.000
YER148W	V	465303	466025	+	30	30.000
YER148W-A	V	466185	466763	+	0	0.000
YER149C	V	466208	467470	-	6	6.000
YER150W	V	468370	468816	+	81	81.000
tV(AAC)E2	V	469457	469530	+	0	0.000
YER151C	V	469686	472424	-	17	17.000
YER152C	V	472657	473988	-	27	27.000
YER152W-A	V	473485	474051	+	0	0.000
YER153C	V	474041	474805	-	4	4.000
YER154W	V	475020	476228	+	27	27.000
YER155C	V	476345	482848	-	35	35.000
YER156C	V	483325	484341	-	25	25.000
YER157W	V	484788	487193	+	12	12.000
tE(UUC)E3	V	487331	487402	-	0	0.000
YER158C	V	488857	490578	-	38	38.000
YER158W-A	V	491487	491702	+	2	2.000
YER159C	V	491530	491958	-	67	67.000
tR(ACG)E	V	492352	492424	-	0	0.000
YER160C	V	492856	498124	-	7	31.448
YER159C-A	V	496802	498124	-	0	0.000
YER161C	V	499347	500348	-	13	13.000
YER162C	V	500630	502894	-	4	4.000
YER163C	V	503084	503782	-	16	16.000
YER164W	V	505392	509798	+	11	11.000
YER165W	V	510373	512106	+	190	190.000
YER165C-A	V	512627	512983	-	0	0.000
YER166W	V	512744	517459	+	43	43.000
YER167W	V	518216	520771	+	15	15.000
YER168C	V	521029	522669	-	14	14.000
YER169W	V	523369	525759	+	14	14.000
YER170W	V	525974	526651	+	14	14.000
YER171W	V	527082	529418	+	20	20.000
YER172C	V	529530	536021	-	17	17.000
YER172C-A	V	536275	536655	-	0	0.000
YER173W	V	536300	538279	+	18	18.000
YER174C	V	538434	539168	-	36	36.000
YER175C	V	539464	540363	-	19	19.000
YER175W-A	V	540650	540814	+	3	3.000
YER176W	V	541690	545055	+	10	10.000
YER177W	V	545611	546414	+	391	391.000
YER178W	V	546817	548079	+	435	435.000
YER179W	V	548421	549517	+	5	5.000
YER180C	V	549724	550527	-	3	3.000
YER180C-A	V	550865	551122	-	1	1.000
tI(AAU)E2	V	551285	551358	-	0	0.000
YER181C	V	551473	551796	-	0	0.000
YER182W	V	552525	553259	+	30	30.000
YER183C	V	553334	553969	-	22	22.000
YER184C	V	556296	558680	-	8	8.000
YER185W	V	559454	560365	+	4	4.000
YER186C	V	561705	562625	-	21	21.000
YER187W	V	566230	566655	+	5	5.000
YER188W	V	568040	568759	+	2	2.000
YER188C-A	V	569608	569907	-	2	2.000
YER189W	V	571155	571523	+	0	0.000
YER190W	V	571480	576525	+	4	61.794
YER190C-A	V	574804	575379	-	6	10.841
YER190C-B	V	575680	576162	-	3	18.835
YFL068W	VI	53	535	+	0	0.000
YFL067W	VI	836	1363	+	1	1.016
YFL066C	VI	1437	2615	-	4	5.175
YFL065C	VI	3030	3338	-	0	0.000
YFL064C	VI	3322	3846	-	1	1.953
YFL063W	VI	5066	5521	+	0	0.000
YFL062W	VI	6426	7565	+	25	25.373
YFL061W	VI	9545	10222	+	12	23.478
YFL060C	VI	10301	10969	-	1	1.857
YFL059W	VI	11363	12259	+	3	5.250
YFL058W	VI	12929	13951	+	7	8.115
YFL056C	VI	14305	15431	-	17	17.000
YFL055W	VI	17004	18680	+	6	6.000
YFL054C	VI	20847	22787	-	92	92.000
YFL053W	VI	23423	25198	+	13	13.000
YFL052W	VI	28232	29629	+	6	6.000
YFL051C	VI	30058	30540	-	6	6.000
YFL050C	VI	33272	35848	-	7	7.000
YFL049W	VI	36803	38674	+	23	23.000
YFL048C	VI	38843	40180	-	27	27.000
YFL047W	VI	40421	42565	+	13	13.000
YFL046W	VI	42815	43438	+	7	7.000
YFL045C	VI	43628	44392	-	144	144.000
YFL044C	VI	44655	45560	-	51	51.000
YFL042C	VI	45720	47744	-	19	19.000
YFL041W-A	VI	48734	48925	+	3	3.000
YFL041W	VI	49139	51007	+	44	44.000
YFL040W	VI	51350	52972	+	2	2.000
YFL039C	VI	53260	54696	-	1203	1204.759
YFL038C	VI	55366	55986	-	125	125.000
YFL037W	VI	56336	57709	+	121	121.000
RUF21	VI	57815	58521	-	5	5.000
YFL036W	VI	58782	62837	+	23	23.000
YFL034C-B	VI	63016	63993	-	6	6.000
YFL034C-A	VI	64243	64932	-	32	32.000
YFL034W	VI	65477	68698	+	15	15.000
YFL033C	VI	69115	74427	-	21	21.000
YFL032W	VI	74872	75192	+	0	0.000
YFL031W	VI	75179	76147	+	48	51.000
YFL031C-A	VI	76014	76115	-	0	0.000
YFL030W	VI	76831	77988	+	167	167.000
YFL029C	VI	78055	79161	-	12	12.000
YFL028C	VI	79344	80213	-	10	10.000
YFL027C	VI	80419	81912	-	5	5.000
YFL026W	VI	82580	83875	+	20	20.000
YFL025C	VI	84145	87234	-	18	18.000
YFL024C	VI	87847	90345	-	21	21.000
YFL023W	VI	90986	93376	+	8	8.000
YFL022C	VI	93499	95010	-	27	27.043
YFL021C-A	VI	95761	96615	-	3	3.000
YFL021W	VI	95966	97498	+	101	101.000
YFL020C	VI	99231	99599	-	3	3.000
YFL019C	VI	100252	100605	-	1	1.000
tP(UGG)F	VI	101376	101478	+	0	0.000
YFL018C	VI	101628	103127	-	156	156.000
YFL017W-A	VI	103699	103932	+	10	10.000
YFL017C	VI	103983	104462	-	13	13.000
YFL016C	VI	104701	106236	-	59	59.000
YFL015W-A	VI	106415	106732	+	0	0.000
YFL015C	VI	106469	106963	-	0	0.000
YFL014W	VI	107256	107585	+	1525	1531.804
YFL013W-A	VI	107799	108602	+	15	15.058
YFL013C	VI	107852	109930	-	14	14.000
YFL012W-A	VI	109810	110184	+	0	0.000
YFL012W	VI	110647	111093	+	1	1.000
YFL011W	VI	112345	113985	+	1	1.000
YFL010W-A	VI	114990	115274	+	1	1.000
YFL010C	VI	115108	115743	-	17	17.000
YFL009W	VI	116145	118484	+	15	15.000
YFL008W	VI	119429	123106	+	19	19.000
YFL007W	VI	123479	129910	+	92	92.000
YFL005W	VI	130334	130981	+	72	72.000
RUF20	VI	131061	131503	-	8	8.000
YFL004W	VI	131810	134296	+	30	30.000
YFL003C	VI	134521	137157	-	4	4.000
tN(GUU)F	VI	137486	137559	-	0	0.000
YFL002W-B	VI	138204	139520	+	0	0.000
YFL002W-A	VI	138204	143517	+	0	8.857
YFL002C	VI	145114	146934	-	8	8.000
YFL001W	VI	147131	148459	+	3	3.000
YFR001W	VI	149110	149724	+	16	16.000
YFR002W	VI	150016	152535	+	10	10.000
YFR003C	VI	152657	153124	-	21	21.000
YFR004W	VI	153393	154313	+	63	63.000
YFR005C	VI	154527	155873	-	6	6.000
YFR006W	VI	156145	157752	+	41	41.000
tF(GAA)F	VI	157916	158007	-	0	0.000
YFR007W	VI	159299	160360	+	10	10.000
YFR008W	VI	160535	161200	+	9	9.000
tG(GCC)F1	VI	162228	162298	+	0	0.000
YFR009W	VI	162488	164746	+	16	17.000
YFR009W-A	VI	163875	164132	+	0	0.000
YFR010W	VI	165067	166566	+	40	40.000
YFR010W-A	VI	166728	166916	+	2	2.000
YFR011C	VI	166746	167258	-	28	28.000
tY(GUA)F1	VI	167437	167525	+	0	0.000
YFR012W	VI	167888	168496	+	1	1.000
YFR012W-A	VI	169224	169310	+	0	0.000
YFR013W	VI	169922	172285	+	10	10.000
YFR014C	VI	172537	173877	-	22	22.000
YFR015C	VI	174265	176391	-	24	24.000
YFR016C	VI	177042	180743	-	12	12.000
tG(GCC)F2	VI	180974	181044	-	0	0.000
YFR017C	VI	182274	182861	-	65	65.000
YFR018C	VI	183131	184222	-	46	46.000
YFR019W	VI	184502	191338	+	18	18.000
tS(GCU)F	VI	191513	191613	-	0	0.000
YFR020W	VI	192737	193435	+	67	67.000
YFR021W	VI	194812	196314	+	12	12.000
YFR022W	VI	196833	199034	+	17	17.000
RUF22	VI	199299	199813	-	0	0.000
YFR023W	VI	199874	201709	+	4	4.000
YFR024C-A	VI	201960	203433	-	59	59.000
YFR025C	VI	203743	204750	-	25	25.000
tA(AGC)F	VI	204924	204996	-	0	0.000
YFR026C	VI	205748	206257	-	5	5.000
YFR027W	VI	207452	208297	+	16	16.000
YFR028C	VI	208413	210068	-	19	19.000
tY(GUA)F2	VI	210619	210707	-	0	0.000
YFR029W	VI	210937	212973	+	9	9.000
YFR030W	VI	213312	216419	+	173	173.000
YFR031C	VI	216594	220106	-	7	7.000
YFR031C-A	VI	220507	221418	-	202	202.000
RUF23	VI	221714	221967	+	0	0.000
YFR032C	VI	222090	222959	-	0	0.000
YFR032C-A	VI	223258	223437	-	119	120.983
YFR032C-B	VI	223710	223973	-	1	1.017
YFR033C	VI	224326	224769	-	291	291.000
YFR034C	VI	225020	225958	-	16	16.000
YFR034W-A	VI	226022	226309	+	12	12.000
YFR035C	VI	226121	226465	-	28	28.000
tK(CUU)F	VI	226688	226760	-	0	0.000
YFR036W	VI	226963	227337	+	5	5.000
YFR036W-A	VI	227451	228101	+	0	0.000
YFR037C	VI	227513	229186	-	35	36.923
YFR038W	VI	229380	231941	+	10	10.000
YFR039C	VI	232012	233544	-	15	15.000
YFR040W	VI	234242	237250	+	32	32.000
YFR041C	VI	237368	238255	-	12	12.000
YFR042W	VI	238458	239060	+	32	32.000
YFR043C	VI	239114	239827	-	6	6.000
YFR044C	VI	239992	241437	-	164	164.000
YFR045W	VI	241998	242999	+	13	13.000
YFR046C	VI	243074	244159	-	4	4.000
YFR047C	VI	244279	245166	-	79	79.000
YFR048W	VI	246146	248134	+	8	8.000
YFR049W	VI	248523	248894	+	57	57.000
YFR050C	VI	249066	249866	-	153	153.000
YFR051C	VI	250163	251803	-	33	33.000
YFR052W	VI	252505	253329	+	60	60.000
YFR052C-A	VI	253429	253734	-	16	20.024
YFR053C	VI	253592	255049	-	996	1246.499
YFR054C	VI	258855	259433	-	2	2.000
YFR056C	VI	263957	264325	-	0	0.000
YFR055W	VI	264204	265226	+	3	3.000
YFR057W	VI	269061	269516	+	0	0.000
YGL263W	VII	2790	3932	+	0	0.000
YGL262W	VII	5312	5839	+	0	0.000
YGL261C	VII	6290	6652	-	0	0.000
YGL260W	VII	6860	7090	+	0	0.000
YGL259W	VII	8470	8967	+	0	0.000
YGL258W-A	VII	9162	9395	+	0	0.000
YGL258W	VII	11110	11730	+	0	0.000
YGL257C	VII	12481	14157	-	24	24.000
YGL256W	VII	15159	16307	+	14	14.000
YGL255W	VII	20978	22108	+	44	44.000
YGL254W	VII	22304	23203	+	11	11.000
YGL253W	VII	23935	25395	+	128	128.000
YGL252C	VII	25718	27484	-	33	33.000
YGL251C	VII	27921	31636	-	17	17.000
YGL250W	VII	31910	32635	+	15	15.000
YGL249W	VII	33098	35212	+	1	1.000
RME3	VII	33109	35013	-	15	15.000
